Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
S83_P_FCSU_DCDC_OpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_PreOpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_ETC_InitSpd;;rpm;;0;1048575;x;x;x;x;x;x;x;x
S83_P_FCSU_GHU_StrtPress1;;kPa;;0;2500;x;x;x;x;x;x;x;x
S83_P_FCSU_GHU_StrtPress2;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_InitPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_StrtPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_HRB_StrtSpd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S83_P_FCSU_InitMinCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_FCSU_MinCellVolt_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
